[2018-09-11 11:21:24,728] 0 [main]  INFO ContextLoader initWebApplicationContext.285- Root WebApplicationContext: initialization started
 [2018-09-11 11:21:24,933] 205 [main]  DEBUG PluggableSchemaResolver getSchemaMappings.147- Loaded schema mappings: {http://www.springframework.org/schema/tx/spring-tx-2.5.xsd=org/springframework/transaction/config/spring-tx-2.5.xsd, http://www.springframework.org/schema/aop/spring-aop-4.1.xsd=org/springframework/aop/config/spring-aop-4.1.xsd, http://www.springframework.org/schema/context/spring-context-3.1.xsd=org/springframework/context/config/spring-context-3.1.xsd, http://www.springframework.org/schema/util/spring-util-3.0.xsd=org/springframework/beans/factory/xml/spring-util-3.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-4.1.xsd=org/springframework/web/servlet/config/spring-mvc-4.1.xsd, http://www.springframework.org/schema/security/spring-security-3.0.3.xsd=org/springframework/security/config/spring-security-3.0.3.xsd, http://www.springframework.org/schema/security/spring-security-2.0.1.xsd=org/springframework/security/config/spring-security-2.0.1.xsd, http://www.springframework.org/schema/tool/spring-tool.xsd=org/springframework/beans/factory/xml/spring-tool-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.2.xsd=org/springframework/aop/config/spring-aop-3.2.xsd, http://www.springframework.org/schema/lang/spring-lang-4.1.xsd=org/springframework/scripting/config/spring-lang-4.1.xsd, http://www.springframework.org/schema/context/spring-context-4.0.xsd=org/springframework/context/config/spring-context-4.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.2.xsd=org/springframework/web/servlet/config/spring-mvc-3.2.xsd, http://www.springframework.org/schema/tool/spring-tool-4.1.xsd=org/springframework/beans/factory/xml/spring-tool-4.1.xsd, http://www.springframework.org/schema/lang/spring-lang-3.2.xsd=org/springframework/scripting/config/spring-lang-3.2.xsd, http://www.springframework.org/schema/cache/spring-cache-3.2.xsd=org/springframework/cache/config/spring-cache-3.2.xsd, http://www.springframework.org/schema/jee/spring-jee-4.1.xsd=org/springframework/ejb/config/spring-jee-4.1.xsd, http://www.springframework.org/schema/util/spring-util-2.0.xsd=org/springframework/beans/factory/xml/spring-util-2.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.2.xsd=org/springframework/beans/factory/xml/spring-tool-3.2.xsd, http://www.springframework.org/schema/context/spring-context.xsd=org/springframework/context/config/spring-context-4.1.xsd, http://www.springframework.org/schema/cache/spring-cache-4.1.xsd=org/springframework/cache/config/spring-cache-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-4.0.xsd=org/springframework/aop/config/spring-aop-4.0.xsd, http://www.springframework.org/schema/security/spring-security-2.0.xsd=org/springframework/security/config/spring-security-2.0.xsd, http://www.springframework.org/schema/jee/spring-jee-3.2.xsd=org/springframework/ejb/config/spring-jee-3.2.xsd, http://www.springframework.org/schema/context/spring-context-3.0.xsd=org/springframework/context/config/spring-context-3.0.xsd, http://www.springframework.org/schema/util/spring-util-2.5.xsd=org/springframework/beans/factory/xml/spring-util-2.5.xsd, http://www.springframework.org/schema/mvc/spring-mvc-4.0.xsd=org/springframework/web/servlet/config/spring-mvc-4.0.xsd, http://www.springframework.org/schema/beans/spring-beans-3.2.xsd=org/springframework/beans/factory/xml/spring-beans-3.2.xsd, http://www.springframework.org/schema/aop/spring-aop-3.1.xsd=org/springframework/aop/config/spring-aop-3.1.xsd, http://www.springframework.org/schema/lang/spring-lang-4.0.xsd=org/springframework/scripting/config/spring-lang-4.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc.xsd=org/springframework/web/servlet/config/spring-mvc-4.1.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.1.xsd=org/springframework/web/servlet/config/spring-mvc-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-4.1.xsd=org/springframework/beans/factory/xml/spring-beans-4.1.xsd, http://www.springframework.org/schema/tool/spring-tool-4.0.xsd=org/springframework/beans/factory/xml/spring-tool-4.0.xsd, http://www.springframework.org/schema/lang/spring-lang-3.1.xsd=org/springframework/scripting/config/spring-lang-3.1.xsd, http://www.springframework.org/schema/cache/spring-cache-3.1.xsd=org/springframework/cache/config/spring-cache-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee-4.0.xsd=org/springframework/ejb/config/spring-jee-4.0.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.0.xsd=org/springframework/jdbc/config/spring-jdbc-3.0.xsd, http://www.springframework.org/schema/task/spring-task-4.1.xsd=org/springframework/scheduling/config/spring-task-4.1.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc.xsd=org/springframework/jdbc/config/spring-jdbc-3.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.1.xsd=org/springframework/beans/factory/xml/spring-tool-3.1.xsd, http://www.springframework.org/schema/cache/spring-cache-4.0.xsd=org/springframework/cache/config/spring-cache-4.0.xsd, http://www.springframework.org/schema/jee/spring-jee-3.1.xsd=org/springframework/ejb/config/spring-jee-3.1.xsd, http://www.springframework.org/schema/task/spring-task-3.2.xsd=org/springframework/scheduling/config/spring-task-3.2.xsd, http://www.springframework.org/schema/beans/spring-beans-3.1.xsd=org/springframework/beans/factory/xml/spring-beans-3.1.xsd, http://www.springframework.org/schema/util/spring-util.xsd=org/springframework/beans/factory/xml/spring-util-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.0.xsd=org/springframework/aop/config/spring-aop-3.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.0.xsd=org/springframework/web/servlet/config/spring-mvc-3.0.xsd, http://www.springframework.org/schema/beans/spring-beans-4.0.xsd=org/springframework/beans/factory/xml/spring-beans-4.0.xsd, http://www.springframework.org/schema/beans/spring-beans.xsd=org/springframework/beans/factory/xml/spring-beans-4.1.xsd, http://www.springframework.org/schema/security/spring-security-2.0.4.xsd=org/springframework/security/config/spring-security-2.0.4.xsd, http://www.springframework.org/schema/lang/spring-lang-3.0.xsd=org/springframework/scripting/config/spring-lang-3.0.xsd, http://www.springframework.org/schema/context/spring-context-2.5.xsd=org/springframework/context/config/spring-context-2.5.xsd, http://www.springframework.org/schema/task/spring-task-4.0.xsd=org/springframework/scheduling/config/spring-task-4.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.0.xsd=org/springframework/beans/factory/xml/spring-tool-3.0.xsd, http://www.springframework.org/schema/aop/spring-aop-2.0.xsd=org/springframework/aop/config/spring-aop-2.0.xsd, http://www.springframework.org/schema/security/spring-security-3.2.xsd=org/springframework/security/config/spring-security-3.2.xsd, http://www.springframework.org/schema/jee/spring-jee-3.0.xsd=org/springframework/ejb/config/spring-jee-3.0.xsd, http://www.springframework.org/schema/util/spring-util-4.1.xsd=org/springframework/beans/factory/xml/spring-util-4.1.xsd, http://www.springframework.org/schema/task/spring-task-3.1.xsd=org/springframework/scheduling/config/spring-task-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-3.0.xsd=org/springframework/beans/factory/xml/spring-beans-3.0.xsd, http://www.springframework.org/schema/jee/spring-jee.xsd=org/springframework/ejb/config/spring-jee-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-2.5.xsd=org/springframework/aop/config/spring-aop-2.5.xsd, http://www.springframework.org/schema/lang/spring-lang-2.0.xsd=org/springframework/scripting/config/spring-lang-2.0.xsd, http://www.springframework.org/schema/util/spring-util-3.2.xsd=org/springframework/beans/factory/xml/spring-util-3.2.xsd, http://www.springframework.org/schema/task/spring-task.xsd=org/springframework/scheduling/config/spring-task-4.1.xsd, http://www.springframework.org/schema/tool/spring-tool-2.0.xsd=org/springframework/beans/factory/xml/spring-tool-2.0.xsd, http://www.springframework.org/schema/tx/spring-tx-3.0.xsd=org/springframework/transaction/config/spring-tx-3.0.xsd, http://www.springframework.org/schema/lang/spring-lang-2.5.xsd=org/springframework/scripting/config/spring-lang-2.5.xsd, http://www.springframework.org/schema/jee/spring-jee-2.0.xsd=org/springframework/ejb/config/spring-jee-2.0.xsd, http://www.springframework.org/schema/tool/spring-tool-2.5.xsd=org/springframework/beans/factory/xml/spring-tool-2.5.xsd, http://www.springframework.org/schema/security/spring-security-3.1.xsd=org/springframework/security/config/spring-security-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee-2.5.xsd=org/springframework/ejb/config/spring-jee-2.5.xsd, http://www.springframework.org/schema/util/spring-util-4.0.xsd=org/springframework/beans/factory/xml/spring-util-4.0.xsd, http://www.springframework.org/schema/task/spring-task-3.0.xsd=org/springframework/scheduling/config/spring-task-3.0.xsd, http://www.springframework.org/schema/security/spring-security-4.0.xsd=org/springframework/security/config/spring-security-4.0.xsd, http://www.springframework.org/schema/lang/spring-lang.xsd=org/springframework/scripting/config/spring-lang-4.1.xsd, http://www.springframework.org/schema/context/spring-context-3.2.xsd=org/springframework/context/config/spring-context-3.2.xsd, http://www.springframework.org/schema/util/spring-util-3.1.xsd=org/springframework/beans/factory/xml/spring-util-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-2.0.xsd=org/springframework/beans/factory/xml/spring-beans-2.0.xsd, http://www.springframework.org/schema/cache/spring-cache.xsd=org/springframework/cache/config/spring-cache-4.1.xsd, http://www.springframework.org/schema/tx/spring-tx.xsd=org/springframework/transaction/config/spring-tx-3.0.xsd, http://www.springframework.org/schema/security/spring-security-2.0.2.xsd=org/springframework/security/config/spring-security-2.0.2.xsd, http://www.springframework.org/schema/context/spring-context-4.1.xsd=org/springframework/context/config/spring-context-4.1.xsd, http://www.springframework.org/schema/beans/spring-beans-2.5.xsd=org/springframework/beans/factory/xml/spring-beans-2.5.xsd, http://www.springframework.org/schema/tx/spring-tx-2.0.xsd=org/springframework/transaction/config/spring-tx-2.0.xsd, http://www.springframework.org/schema/security/spring-security.xsd=org/springframework/security/config/spring-security-4.0.xsd, http://www.springframework.org/schema/security/spring-security-3.0.xsd=org/springframework/security/config/spring-security-3.0.xsd, http://www.springframework.org/schema/aop/spring-aop.xsd=org/springframework/aop/config/spring-aop-4.1.xsd}
 [2018-09-11 11:21:24,936] 208 [main]  DEBUG PluggableSchemaResolver resolveEntity.119- Found XML schema [http://www.springframework.org/schema/beans/spring-beans-4.1.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.1.xsd
 [2018-09-11 11:21:24,989] 261 [main]  DEBUG PluggableSchemaResolver resolveEntity.119- Found XML schema [http://www.springframework.org/schema/context/spring-context.xsd] in classpath: org/springframework/context/config/spring-context-4.1.xsd
 [2018-09-11 11:21:24,997] 269 [main]  DEBUG PluggableSchemaResolver resolveEntity.119- Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.1.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.1.xsd
 [2018-09-11 11:21:25,008] 280 [main]  DEBUG PluggableSchemaResolver resolveEntity.119- Found XML schema [http://www.springframework.org/schema/security/spring-security-4.0.xsd] in classpath: org/springframework/security/config/spring-security-4.0.xsd
 [2018-09-11 11:21:25,075] 347 [main]  DEBUG DefaultBeanDefinitionDocumentReader registerBeanDefinitions.98- Loading bean definitions
 [2018-09-11 11:21:25,090] 362 [main]  DEBUG DefaultNamespaceHandlerResolver getHandlerMappings.157- Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/mvc=org.springframework.web.servlet.config.MvcNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/security=org.springframework.security.config.SecurityNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler}
 [2018-09-11 11:21:25,107] 379 [main]  DEBUG StandardEnvironment addLast.109- Adding [systemProperties] PropertySource with lowest search precedence
 [2018-09-11 11:21:25,108] 380 [main]  DEBUG StandardEnvironment addLast.109- Adding [systemEnvironment] PropertySource with lowest search precedence
 [2018-09-11 11:21:25,109] 381 [main]  DEBUG StandardEnvironment <init>.126- Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
 [2018-09-11 11:21:25,114] 386 [main]  DEBUG ClassPathBeanDefinitionScanner registerDefaultFilters.244- JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
 [2018-09-11 11:21:25,115] 387 [main]  DEBUG ClassPathBeanDefinitionScanner registerDefaultFilters.252- JSR-330 'javax.inject.Named' annotation found and supported for component scanning
 [2018-09-11 11:21:25,120] 392 [main]  DEBUG PathMatchingResourcePatternResolver doFindMatchingFileSystemResources.622- Looking for matching resources in directory tree [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement]
 [2018-09-11 11:21:25,121] 393 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,123] 395 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/patient] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,124] 396 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/patient/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,125] 397 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,125] 397 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,126] 398 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user/controller] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,126] 398 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/address] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,127] 399 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/address/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,127] 399 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,128] 400 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/dao] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,128] 400 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/dao/impl] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,128] 400 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,129] 401 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/service] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,130] 402 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/service/impl] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,130] 402 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/controller] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,131] 403 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/logger] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,131] 403 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/visit] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,132] 404 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/visit/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,132] 404 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/exception] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,133] 405 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/genericdao] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,133] 405 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/commons] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,134] 406 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/contact] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,134] 406 [main]  DEBUG PathMatchingResourcePatternResolver doRetrieveMatchingFiles.684- Searching directory [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/contact/model] for files matching pattern [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/**/*.class]
 [2018-09-11 11:21:25,137] 409 [main]  DEBUG PathMatchingResourcePatternResolver findPathMatchingResources.423- Resolved location pattern [classpath*:com/ideas2it/hospitalmanagement/**/*.class] to resources [file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/patient/model/Patient$Gender.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/patient/model/Patient.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user/model/User.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user/controller/UserController.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/address/model/Address.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/dao/PhysicianDao.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/dao/impl/PhysicianDaoImpl.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/model/Physician$Gender.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/model/Physician.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/service/impl/PhysicianServiceImpl.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/service/PhysicianService.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/controller/PhysicianController.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/logger/Logger.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/visit/model/Visit.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/exception/ApplicationException.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/genericdao/GenericDao.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/commons/Constants.class], file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/contact/model/Contact.class]]
 [2018-09-11 11:21:25,175] 447 [main]  DEBUG ClassPathBeanDefinitionScanner findCandidateComponents.286- Identified candidate component class: file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/user/controller/UserController.class]
 [2018-09-11 11:21:25,181] 453 [main]  DEBUG ClassPathBeanDefinitionScanner findCandidateComponents.286- Identified candidate component class: file [/home/ubuntu/Hospital-Management/target/classes/com/ideas2it/hospitalmanagement/physician/controller/PhysicianController.class]
 [2018-09-11 11:21:25,203] 475 [main]  INFO XmlBeanDefinitionReader loadBeanDefinitions.317- Loading XML bean definitions from ServletContext resource [/WEB-INF/data-source-cfg.xml]
 [2018-09-11 11:21:25,205] 477 [main]  DEBUG DefaultDocumentLoader loadDocument.73- Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
 [2018-09-11 11:21:25,208] 480 [main]  DEBUG PluggableSchemaResolver resolveEntity.119- Found XML schema [http://www.springframework.org/schema/beans/spring-beans-4.1.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.1.xsd
 [2018-09-11 11:21:25,225] 497 [main]  DEBUG DefaultBeanDefinitionDocumentReader registerBeanDefinitions.98- Loading bean definitions
 [2018-09-11 11:21:25,231] 503 [main]  DEBUG DefaultBeanDefinitionDocumentReader importBeanDefinitionResource.254- Imported 1 bean definitions from relative location [/data-source-cfg.xml]
 [2018-09-11 11:21:25,238] 510 [main]  INFO SpringSecurityCoreVersion performVersionChecks.59- You are running with Spring Security Core 4.0.1.RELEASE
 [2018-09-11 11:21:25,242] 514 [main]  INFO SecurityNamespaceHandler <init>.78- Spring Security 'config' module version is 4.0.1.RELEASE
 [2018-09-11 11:21:25,284] 556 [main]  INFO FilterInvocationSecurityMetadataSourceParser parseInterceptUrlsForFilterInvocationRequestMap.158- Creating access control expression attribute 'permitAll()' for /
 [2018-09-11 11:21:25,284] 556 [main]  INFO FilterInvocationSecurityMetadataSourceParser parseInterceptUrlsForFilterInvocationRequestMap.158- Creating access control expression attribute 'permitAll()' for /login
 [2018-09-11 11:21:25,285] 557 [main]  INFO FilterInvocationSecurityMetadataSourceParser parseInterceptUrlsForFilterInvocationRequestMap.158- Creating access control expression attribute 'permitAll()' for /logout
 [2018-09-11 11:21:25,285] 557 [main]  INFO FilterInvocationSecurityMetadataSourceParser parseInterceptUrlsForFilterInvocationRequestMap.158- Creating access control expression attribute 'hasAnyRole('ROLE_NURSE', 'ROLE_ADMIN', 'ROLE_RECEPTIONIST', 'ROLE_PHYSICIAN')' for /userInfo
